Date/Time,Threshold,totalDiffe,file
2018/06/12 10:53:02,110000,116171,20180612_10h53m02s094938.jpg
2018/06/12 10:53:09,110000,117477,20180612_10h53m09s053678.jpg
2018/06/12 10:53:11,110000,116527,20180612_10h53m11s087268.jpg
2018/06/12 10:53:12,110000,119945,20180612_10h53m12s054299.jpg
2018/06/12 10:53:14,110000,122189,20180612_10h53m14s085778.jpg
2018/06/12 10:53:17,110000,120610,20180612_10h53m17s050469.jpg
2018/06/12 10:53:18,110000,134720,20180612_10h53m18s083319.jpg
2018/06/12 10:53:39,110000,117546,20180612_10h53m39s070002.jpg
2018/06/12 10:53:40,110000,141537,20180612_10h53m40s038265.jpg
2018/06/12 10:54:01,110000,112578,20180612_10h54m01s090108.jpg
2018/06/12 10:54:02,110000,113154,20180612_10h54m02s059635.jpg
2018/06/12 10:54:21,110000,112728,20180612_10h54m21s078266.jpg
2018/06/12 10:54:23,110000,110388,20180612_10h54m23s079995.jpg
2018/06/12 10:54:42,110000,112676,20180612_10h54m42s067376.jpg
2018/06/12 10:54:43,110000,114536,20180612_10h54m43s098431.jpg
2018/06/12 10:54:44,110000,114247,20180612_10h54m44s067477.jpg
2018/06/12 10:54:54,110000,112487,20180612_10h54m54s090576.jpg
2018/06/12 10:54:56,110000,114139,20180612_10h54m56s059173.jpg
2018/06/12 10:55:06,110000,112598,20180612_10h55m06s050553.jpg
2018/06/12 10:55:07,110000,118070,20180612_10h55m07s082612.jpg
2018/06/12 10:55:10,110000,144221,20180612_10h55m10s050567.jpg
2018/06/12 10:55:12,110000,110088,20180612_10h55m12s082560.jpg
2018/06/12 10:55:13,110000,116381,20180612_10h55m13s046974.jpg
2018/06/12 10:55:14,110000,114422,20180612_10h55m14s078698.jpg
2018/06/12 10:55:15,110000,114577,20180612_10h55m15s046861.jpg
2018/06/12 10:55:17,110000,114139,20180612_10h55m17s046660.jpg
2018/06/12 10:55:20,110000,112602,20180612_10h55m20s074683.jpg
2018/06/12 10:55:21,110000,113385,20180612_10h55m21s043324.jpg
2018/06/12 10:55:22,110000,112613,20180612_10h55m22s075903.jpg
2018/06/12 10:55:23,110000,110472,20180612_10h55m23s042641.jpg
2018/06/12 10:55:31,110000,110336,20180612_10h55m31s070676.jpg
2018/06/12 10:55:32,110000,122815,20180612_10h55m32s034919.jpg
2018/06/12 10:55:33,110000,119390,20180612_10h55m33s066691.jpg
2018/06/12 10:55:34,110000,121940,20180612_10h55m34s036399.jpg
2018/06/12 10:55:35,110000,114818,20180612_10h55m35s066718.jpg
2018/06/12 10:55:36,110000,113714,20180612_10h55m36s098712.jpg
2018/06/12 10:55:37,110000,116923,20180612_10h55m37s068648.jpg
2018/06/12 10:55:38,110000,127089,20180612_10h55m38s031088.jpg
2018/06/12 10:55:39,110000,119483,20180612_10h55m39s066726.jpg
2018/06/12 10:55:40,110000,129191,20180612_10h55m40s098734.jpg
2018/06/12 10:55:41,110000,117661,20180612_10h55m41s064030.jpg
2018/06/12 10:55:42,110000,116680,20180612_10h55m42s094789.jpg
2018/06/12 10:55:43,110000,123252,20180612_10h55m43s094794.jpg
2018/06/12 10:55:44,110000,115757,20180612_10h55m44s062921.jpg
2018/06/12 10:55:45,110000,140963,20180612_10h55m45s096914.jpg
2018/06/12 10:55:46,110000,118681,20180612_10h55m46s059482.jpg
2018/06/12 10:55:47,110000,123549,20180612_10h55m47s094763.jpg
2018/06/12 10:55:48,110000,122994,20180612_10h55m48s059252.jpg
2018/06/12 10:55:49,110000,119665,20180612_10h55m49s090834.jpg
2018/06/12 10:55:50,110000,121059,20180612_10h55m50s059477.jpg
2018/06/12 10:55:51,110000,121328,20180612_10h55m51s092823.jpg
2018/06/12 10:55:52,110000,112909,20180612_10h55m52s058926.jpg
2018/06/12 10:55:53,110000,110900,20180612_10h55m53s091388.jpg
2018/06/12 10:55:54,110000,114310,20180612_10h55m54s054852.jpg
2018/06/12 10:55:55,110000,111705,20180612_10h55m55s087481.jpg
2018/06/12 10:55:56,110000,110730,20180612_10h55m56s086812.jpg
2018/06/12 10:55:57,110000,129591,20180612_10h55m57s055992.jpg
2018/06/12 10:55:58,110000,205123,20180612_10h55m58s087374.jpg
2018/06/12 10:56:11,110000,115531,20180612_10h56m11s046951.jpg
2018/06/12 10:56:12,110000,114393,20180612_10h56m12s079091.jpg
2018/06/12 10:56:13,110000,115846,20180612_10h56m13s042892.jpg
2018/06/12 10:56:15,110000,110843,20180612_10h56m15s076945.jpg
2018/06/12 10:56:16,110000,110723,20180612_10h56m16s043006.jpg
2018/06/12 10:56:18,110000,112976,20180612_10h56m18s075674.jpg
2018/06/12 10:56:19,110000,125798,20180612_10h56m19s039157.jpg
2018/06/12 10:56:20,110000,110220,20180612_10h56m20s075099.jpg
2018/06/12 10:56:21,110000,113414,20180612_10h56m21s039090.jpg
2018/06/12 10:56:24,110000,115730,20180612_10h56m24s039433.jpg
2018/06/12 10:56:26,110000,210039,20180612_10h56m26s035740.jpg
2018/06/12 10:56:27,110000,125745,20180612_10h56m27s071070.jpg
2018/06/12 10:56:28,110000,129756,20180612_10h56m28s035322.jpg
2018/06/12 10:56:29,110000,137307,20180612_10h56m29s067095.jpg
2018/06/12 10:56:30,110000,131035,20180612_10h56m30s099077.jpg
2018/06/12 10:56:31,110000,158611,20180612_10h56m31s068671.jpg
2018/06/12 10:56:32,110000,181864,20180612_10h56m32s099084.jpg
2018/06/12 10:56:33,110000,155425,20180612_10h56m33s067213.jpg
2018/06/12 10:56:34,110000,182160,20180612_10h56m34s099177.jpg
2018/06/12 10:56:35,110000,144449,20180612_10h56m35s063375.jpg
2018/06/12 10:56:36,110000,150641,20180612_10h56m36s063141.jpg
2018/06/12 10:56:37,110000,148318,20180612_10h56m37s095163.jpg
2018/06/12 10:56:38,110000,204164,20180612_10h56m38s063361.jpg
2018/06/12 10:56:39,110000,165001,20180612_10h56m39s095178.jpg
2018/06/12 10:56:40,110000,145450,20180612_10h56m40s063325.jpg
2018/06/12 10:56:41,110000,135266,20180612_10h56m41s095218.jpg
2018/06/12 10:56:42,110000,136400,20180612_10h56m42s060054.jpg
2018/06/12 10:56:43,110000,135222,20180612_10h56m43s092889.jpg
2018/06/12 10:56:44,110000,135898,20180612_10h56m44s059277.jpg
2018/06/12 10:56:45,110000,155532,20180612_10h56m45s092905.jpg
2018/06/12 10:56:46,110000,192438,20180612_10h56m46s059860.jpg
2018/06/12 10:56:47,110000,135216,20180612_10h56m47s092838.jpg
2018/06/12 10:56:48,110000,129268,20180612_10h56m48s055942.jpg
2018/06/12 10:56:49,110000,120141,20180612_10h56m49s055258.jpg
2018/06/12 10:56:50,110000,116597,20180612_10h56m50s087835.jpg
2018/06/12 10:56:51,110000,111909,20180612_10h56m51s055301.jpg
2018/06/12 10:56:52,110000,142145,20180612_10h56m52s088838.jpg
2018/06/12 10:56:59,110000,111882,20180612_10h56m59s051288.jpg
2018/06/12 10:57:00,110000,111369,20180612_10h57m00s083749.jpg
2018/06/12 10:57:01,110000,111899,20180612_10h57m01s048841.jpg
2018/06/12 10:57:19,110000,120234,20180612_10h57m19s072049.jpg
2018/06/12 10:57:30,110000,120227,20180612_10h57m30s065076.jpg
2018/06/12 10:57:32,110000,118786,20180612_10h57m32s064034.jpg
2018/06/12 10:57:39,110000,140097,20180612_10h57m39s059586.jpg
2018/06/12 10:57:40,110000,112292,20180612_10h57m40s091667.jpg
2018/06/12 10:57:41,110000,122856,20180612_10h57m41s093180.jpg
2018/06/12 10:57:42,110000,114500,20180612_10h57m42s061666.jpg
2018/06/12 10:57:43,110000,116885,20180612_10h57m43s093164.jpg
2018/06/12 10:57:46,110000,120403,20180612_10h57m46s087783.jpg
2018/06/12 10:57:48,110000,120833,20180612_10h57m48s055695.jpg
2018/06/12 10:58:05,110000,116630,20180612_10h58m05s075824.jpg
2018/06/12 10:58:06,110000,117002,20180612_10h58m06s046182.jpg
2018/06/12 10:58:07,110000,115525,20180612_10h58m07s075954.jpg
2018/06/12 10:58:08,110000,113005,20180612_10h58m08s077790.jpg
2018/06/12 10:58:09,110000,110572,20180612_10h58m09s039790.jpg
2018/06/12 10:58:13,110000,110862,20180612_10h58m13s073113.jpg
2018/06/12 10:58:15,110000,111139,20180612_10h58m15s041240.jpg
2018/06/12 10:58:17,110000,112938,20180612_10h58m17s073524.jpg
2018/06/12 10:58:40,110000,110052,20180612_10h58m40s089891.jpg
2018/06/12 10:58:46,110000,110831,20180612_10h58m46s085078.jpg
2018/06/12 10:58:53,110000,110456,20180612_10h58m53s081108.jpg
2018/06/12 10:58:55,110000,111412,20180612_10h58m55s048227.jpg
2018/06/12 10:59:00,110000,110164,20180612_10h59m00s045420.jpg
2018/06/12 10:59:02,110000,110083,20180612_10h59m02s044623.jpg
2018/06/12 10:59:03,110000,110233,20180612_10h59m03s076250.jpg
2018/06/12 10:59:05,110000,110280,20180612_10h59m05s042108.jpg
2018/06/12 10:59:10,110000,110361,20180612_10h59m10s041789.jpg
2018/06/12 10:59:17,110000,110500,20180612_10h59m17s070061.jpg
2018/06/12 10:59:18,110000,110185,20180612_10h59m18s032903.jpg
2018/06/12 10:59:19,110000,111437,20180612_10h59m19s064398.jpg
2018/06/12 10:59:20,110000,110091,20180612_10h59m20s032402.jpg
2018/06/12 10:59:21,110000,110264,20180612_10h59m21s064312.jpg
2018/06/12 10:59:23,110000,110127,20180612_10h59m23s098250.jpg
2018/06/12 10:59:25,110000,110325,20180612_10h59m25s066653.jpg
2018/06/12 10:59:27,110000,110080,20180612_10h59m27s098214.jpg
2018/06/12 10:59:30,110000,110321,20180612_10h59m30s092942.jpg
2018/06/12 10:59:31,110000,110376,20180612_10h59m31s060448.jpg
2018/06/12 10:59:33,110000,110365,20180612_10h59m33s094261.jpg
2018/06/12 10:59:36,110000,110388,20180612_10h59m36s088912.jpg
2018/06/12 10:59:37,110000,110216,20180612_10h59m37s056864.jpg
2018/06/12 10:59:40,110000,110355,20180612_10h59m40s089044.jpg
2018/06/12 10:59:41,110000,110493,20180612_10h59m41s053750.jpg
2018/06/12 10:59:43,110000,110337,20180612_10h59m43s086224.jpg
2018/06/12 10:59:46,110000,110434,20180612_10h59m46s050338.jpg
2018/06/12 10:59:47,110000,110225,20180612_10h59m47s049834.jpg
2018/06/12 10:59:52,110000,111761,20180612_10h59m52s045304.jpg
2018/06/12 10:59:53,110000,124207,20180612_10h59m53s044951.jpg
2018/06/12 10:59:54,110000,120179,20180612_10h59m54s082389.jpg
2018/06/12 10:59:55,110000,115383,20180612_10h59m55s046973.jpg
2018/06/12 10:59:56,110000,115098,20180612_10h59m56s077052.jpg
2018/06/12 10:59:57,110000,112001,20180612_10h59m57s044991.jpg
2018/06/12 10:59:58,110000,112400,20180612_10h59m58s078769.jpg
2018/06/12 10:59:59,110000,113038,20180612_10h59m59s040589.jpg
2018/06/12 11:00:00,110000,115036,20180612_11h00m00s077805.jpg
2018/06/12 11:00:01,110000,113410,20180612_11h00m01s042561.jpg
2018/06/12 11:00:07,110000,113729,20180612_11h00m07s072714.jpg
2018/06/12 11:00:30,110000,112102,20180612_11h00m30s088813.jpg
2018/06/12 11:00:34,110000,112670,20180612_11h00m34s053692.jpg
2018/06/12 11:00:36,110000,112991,20180612_11h00m36s085746.jpg
2018/06/12 11:00:41,110000,120075,20180612_11h00m41s051481.jpg
2018/06/12 11:00:46,110000,125014,20180612_11h00m46s083148.jpg
2018/06/12 11:00:52,110000,112887,20180612_11h00m52s077930.jpg
2018/06/12 11:00:53,110000,118861,20180612_11h00m53s046387.jpg
2018/06/12 11:01:25,110000,116070,20180612_11h01m25s089757.jpg
2018/06/12 11:01:26,110000,116645,20180612_11h01m26s057629.jpg
2018/06/12 11:01:53,110000,111889,20180612_11h01m53s105936.jpg
2018/06/12 11:01:54,110000,112473,20180612_11h01m54s042718.jpg
2018/06/12 11:02:02,110000,118925,20180612_11h02m02s034322.jpg
2018/06/12 11:02:03,110000,116099,20180612_11h02m03s069622.jpg
2018/06/12 11:02:07,110000,126943,20180612_11h02m07s034897.jpg
2018/06/12 11:02:12,110000,132946,20180612_11h02m12s097606.jpg
2018/06/12 11:02:13,110000,112177,20180612_11h02m13s129711.jpg
2018/06/12 11:02:22,110000,110837,20180612_11h02m22s091669.jpg
2018/06/12 11:02:24,110000,110493,20180612_11h02m24s053571.jpg
2018/06/12 11:02:29,110000,118335,20180612_11h02m29s085641.jpg
2018/06/12 11:02:34,110000,118367,20180612_11h02m34s049925.jpg
2018/06/12 11:02:35,110000,111712,20180612_11h02m35s082719.jpg
2018/06/12 11:02:37,110000,128721,20180612_11h02m37s045944.jpg
2018/06/12 11:03:14,110000,110148,20180612_11h03m14s059162.jpg
2018/06/12 11:03:20,110000,113981,20180612_11h03m20s090738.jpg
2018/06/12 11:03:21,110000,114471,20180612_11h03m21s054216.jpg
2018/06/12 11:03:22,110000,116339,20180612_11h03m22s055990.jpg
2018/06/12 11:03:23,110000,110467,20180612_11h03m23s088007.jpg
2018/06/12 11:03:24,110000,110589,20180612_11h03m24s086080.jpg
2018/06/12 11:03:25,110000,110750,20180612_11h03m25s086009.jpg
2018/06/12 11:03:27,110000,110135,20180612_11h03m27s049977.jpg
2018/06/12 11:03:30,110000,111749,20180612_11h03m30s082816.jpg
2018/06/12 11:03:32,110000,110066,20180612_11h03m32s048041.jpg
2018/06/12 11:03:41,110000,120711,20180612_11h03m41s073879.jpg
2018/06/12 11:03:42,110000,118162,20180612_11h03m42s075679.jpg
2018/06/12 11:03:43,110000,118429,20180612_11h03m43s042835.jpg
2018/06/12 11:03:44,110000,115885,20180612_11h03m44s076567.jpg
2018/06/12 11:03:45,110000,113953,20180612_11h03m45s074840.jpg
2018/06/12 11:03:46,110000,111448,20180612_11h03m46s038235.jpg
2018/06/12 11:03:47,110000,110773,20180612_11h03m47s074175.jpg
2018/06/12 11:03:48,110000,113123,20180612_11h03m48s071027.jpg
2018/06/12 11:03:49,110000,114173,20180612_11h03m49s038173.jpg
2018/06/12 11:03:50,110000,111613,20180612_11h03m50s072259.jpg
2018/06/12 11:03:51,110000,111890,20180612_11h03m51s038233.jpg
2018/06/12 11:03:52,110000,113062,20180612_11h03m52s072190.jpg
2018/06/12 11:03:53,110000,112100,20180612_11h03m53s034162.jpg
2018/06/12 11:03:54,110000,112312,20180612_11h03m54s068221.jpg
2018/06/12 11:03:55,110000,111732,20180612_11h03m55s034393.jpg
2018/06/12 11:03:56,110000,111885,20180612_11h03m56s067826.jpg
2018/06/12 11:03:57,110000,111753,20180612_11h03m57s036228.jpg
2018/06/12 11:03:58,110000,111433,20180612_11h03m58s036249.jpg
2018/06/12 11:03:59,110000,114376,20180612_11h03m59s066292.jpg
2018/06/12 11:04:00,110000,112584,20180612_11h04m00s031947.jpg
2018/06/12 11:04:14,110000,120408,20180612_11h04m14s092386.jpg
2018/06/12 11:04:24,110000,115774,20180612_11h04m24s082394.jpg
2018/06/12 11:04:25,110000,119576,20180612_11h04m25s050498.jpg
2018/06/12 11:04:26,110000,115061,20180612_11h04m26s082451.jpg
2018/06/12 11:04:27,110000,122943,20180612_11h04m27s046462.jpg
2018/06/12 11:04:28,110000,120282,20180612_11h04m28s084204.jpg
2018/06/12 11:04:29,110000,110576,20180612_11h04m29s047524.jpg
2018/06/12 11:04:30,110000,111969,20180612_11h04m30s078448.jpg
2018/06/12 11:04:31,110000,110715,20180612_11h04m31s046450.jpg
2018/06/12 11:04:32,110000,112125,20180612_11h04m32s080829.jpg
2018/06/12 11:04:33,110000,111445,20180612_11h04m33s046498.jpg
2018/06/12 11:04:34,110000,110255,20180612_11h04m34s080579.jpg
2018/06/12 11:04:41,110000,111091,20180612_11h04m41s041163.jpg
2018/06/12 11:04:47,110000,111849,20180612_11h04m47s070654.jpg
2018/06/12 11:04:48,110000,111732,20180612_11h04m48s034914.jpg
2018/06/12 11:04:49,110000,112995,20180612_11h04m49s066622.jpg
2018/06/12 11:04:50,110000,112849,20180612_11h04m50s034645.jpg
2018/06/12 11:04:51,110000,113483,20180612_11h04m51s066804.jpg
2018/06/12 11:04:52,110000,114475,20180612_11h04m52s098591.jpg
2018/06/12 11:04:53,110000,114073,20180612_11h04m53s067588.jpg
2018/06/12 11:04:54,110000,115033,20180612_11h04m54s032633.jpg
2018/06/12 11:04:55,110000,114620,20180612_11h04m55s067707.jpg
2018/06/12 11:04:56,110000,113924,20180612_11h04m56s098631.jpg
2018/06/12 11:04:57,110000,112530,20180612_11h04m57s062667.jpg
2018/06/12 11:04:58,110000,115924,20180612_11h04m58s095338.jpg
2018/06/12 11:04:59,110000,119139,20180612_11h04m59s062581.jpg
2018/06/12 11:05:00,110000,119205,20180612_11h05m00s095955.jpg
2018/06/12 11:05:01,110000,123604,20180612_11h05m01s064041.jpg
2018/06/12 11:05:02,110000,125032,20180612_11h05m02s064704.jpg
2018/06/12 11:05:03,110000,127541,20180612_11h05m03s095575.jpg
2018/06/12 11:05:04,110000,125892,20180612_11h05m04s059794.jpg
2018/06/12 11:05:05,110000,111579,20180612_11h05m05s090699.jpg
2018/06/12 11:05:08,110000,143180,20180612_11h05m08s092364.jpg
2018/06/12 11:05:09,110000,123313,20180612_11h05m09s056097.jpg
2018/06/12 11:05:10,110000,119360,20180612_11h05m10s090815.jpg
2018/06/12 11:05:11,110000,115782,20180612_11h05m11s056085.jpg
2018/06/12 11:05:12,110000,115774,20180612_11h05m12s086757.jpg
2018/06/12 11:05:13,110000,113894,20180612_11h05m13s056854.jpg
2018/06/12 11:05:14,110000,116992,20180612_11h05m14s086799.jpg
2018/06/12 11:05:15,110000,120308,20180612_11h05m15s056475.jpg
2018/06/12 11:05:16,110000,110030,20180612_11h05m16s088466.jpg
2018/06/12 11:05:18,110000,110554,20180612_11h05m18s050770.jpg
2018/06/12 11:05:19,110000,114449,20180612_11h05m19s050885.jpg
2018/06/12 11:05:20,110000,112691,20180612_11h05m20s084200.jpg
2018/06/12 11:05:21,110000,111241,20180612_11h05m21s050899.jpg
2018/06/12 11:05:22,110000,111274,20180612_11h05m22s082924.jpg
2018/06/12 11:05:23,110000,111215,20180612_11h05m23s046988.jpg
2018/06/12 11:05:24,110000,112581,20180612_11h05m24s083415.jpg
2018/06/12 11:05:25,110000,122455,20180612_11h05m25s047093.jpg
2018/06/12 11:05:26,110000,121613,20180612_11h05m26s078851.jpg
2018/06/12 11:05:27,110000,112797,20180612_11h05m27s046922.jpg
2018/06/12 11:05:28,110000,113065,20180612_11h05m28s078879.jpg
2018/06/12 11:05:29,110000,114095,20180612_11h05m29s042893.jpg
2018/06/12 11:05:30,110000,113005,20180612_11h05m30s079945.jpg
2018/06/12 11:05:31,110000,112948,20180612_11h05m31s042984.jpg
2018/06/12 11:05:32,110000,112917,20180612_11h05m32s074988.jpg
2018/06/12 11:05:33,110000,113473,20180612_11h05m33s044651.jpg
2018/06/12 11:05:34,110000,113152,20180612_11h05m34s076415.jpg
2018/06/12 11:05:35,110000,113367,20180612_11h05m35s043281.jpg
2018/06/12 11:05:36,110000,116161,20180612_11h05m36s074933.jpg
2018/06/12 11:05:37,110000,121195,20180612_11h05m37s038899.jpg
2018/06/12 11:05:38,110000,122198,20180612_11h05m38s073119.jpg
2018/06/12 11:05:44,110000,120563,20180612_11h05m44s036079.jpg
2018/06/12 11:05:45,110000,118176,20180612_11h05m45s066956.jpg
2018/06/12 11:05:46,110000,118646,20180612_11h05m46s036461.jpg
2018/06/12 11:05:49,110000,117814,20180612_11h05m49s067045.jpg
2018/06/12 11:06:02,110000,117960,20180612_11h06m02s091804.jpg
2018/06/12 11:06:08,110000,117197,20180612_11h06m08s088712.jpg
2018/06/12 11:06:17,110000,119693,20180612_11h06m17s083264.jpg
2018/06/12 11:06:51,110000,117987,20180612_11h06m51s095552.jpg
2018/06/12 11:06:59,110000,113433,20180612_11h06m59s074553.jpg
2018/06/12 11:07:04,110000,155964,20180612_11h07m04s089139.jpg
2018/06/12 11:07:06,110000,114573,20180612_11h07m06s051575.jpg
2018/06/12 11:07:07,110000,116407,20180612_11h07m07s087453.jpg
2018/06/12 11:07:43,110000,115900,20180612_11h07m43s064367.jpg
2018/06/12 11:07:44,110000,117408,20180612_11h07m44s031841.jpg
2018/06/12 11:07:54,110000,173819,20180612_11h07m54s092020.jpg
2018/06/12 11:07:57,110000,119737,20180612_11h07m57s087599.jpg
2018/06/12 11:08:10,110000,119805,20180612_11h08m10s048425.jpg
2018/06/12 11:08:11,110000,112036,20180612_11h08m11s079947.jpg
2018/06/12 11:08:12,110000,110831,20180612_11h08m12s047968.jpg
2018/06/12 11:08:13,110000,111037,20180612_11h08m13s081296.jpg
2018/06/12 11:08:14,110000,114011,20180612_11h08m14s043925.jpg
2018/06/12 11:08:15,110000,111609,20180612_11h08m15s079997.jpg
2018/06/12 11:08:16,110000,110857,20180612_11h08m16s043958.jpg
2018/06/12 11:08:17,110000,112921,20180612_11h08m17s075965.jpg
2018/06/12 11:08:18,110000,113530,20180612_11h08m18s046313.jpg
2018/06/12 11:08:19,110000,110576,20180612_11h08m19s076068.jpg
2018/06/12 11:08:38,110000,122746,20180612_11h08m38s068130.jpg
2018/06/12 11:08:40,110000,110049,20180612_11h08m40s064253.jpg
2018/06/12 11:08:45,110000,121827,20180612_11h08m45s060519.jpg
2018/06/12 11:10:01,110000,121698,20180612_11h10m01s080778.jpg
2018/06/12 11:10:02,110000,146893,20180612_11h10m02s050379.jpg
2018/06/12 11:10:03,110000,125287,20180612_11h10m03s081050.jpg
2018/06/12 11:10:04,110000,140824,20180612_11h10m04s045704.jpg
2018/06/12 11:10:05,110000,206525,20180612_11h10m05s080844.jpg
2018/06/12 11:10:07,110000,110081,20180612_11h10m07s077052.jpg
2018/06/12 11:10:13,110000,119137,20180612_11h10m13s041065.jpg
2018/06/12 11:10:22,110000,113296,20180612_11h10m22s070347.jpg
2018/06/12 11:10:23,110000,110644,20180612_11h10m23s069110.jpg
2018/06/12 11:10:24,110000,110594,20180612_11h10m24s034025.jpg
2018/06/12 11:10:27,110000,125414,20180612_11h10m27s065175.jpg
2018/06/12 11:10:28,110000,129468,20180612_11h10m28s098865.jpg
2018/06/12 11:10:29,110000,174037,20180612_11h10m29s097878.jpg
2018/06/12 11:10:30,110000,136423,20180612_11h10m30s065083.jpg
2018/06/12 11:10:31,110000,143667,20180612_11h10m31s097298.jpg
2018/06/12 11:10:32,110000,138259,20180612_11h10m32s062090.jpg
2018/06/12 11:10:33,110000,127484,20180612_11h10m33s097215.jpg
2018/06/12 11:10:34,110000,120154,20180612_11h10m34s060965.jpg
2018/06/12 11:10:35,110000,116167,20180612_11h10m35s029113.jpg
2018/06/12 11:10:36,110000,113107,20180612_11h10m36s061619.jpg
2018/06/12 11:10:37,110000,111622,20180612_11h10m37s093214.jpg
2018/06/12 11:10:43,110000,116506,20180612_11h10m43s057407.jpg
2018/06/12 11:10:44,110000,113511,20180612_11h10m44s089058.jpg
2018/06/12 11:10:45,110000,110165,20180612_11h10m45s057320.jpg
2018/06/12 11:10:46,110000,110729,20180612_11h10m46s089100.jpg
2018/06/12 11:10:48,110000,112175,20180612_11h10m48s053165.jpg
2018/06/12 11:10:49,110000,117088,20180612_11h10m49s085101.jpg
2018/06/12 11:11:00,110000,111246,20180612_11h11m00s081260.jpg
2018/06/12 11:11:02,110000,111464,20180612_11h11m02s046103.jpg
2018/06/12 11:11:03,110000,117669,20180612_11h11m03s077818.jpg
2018/06/12 11:11:04,110000,125975,20180612_11h11m04s045249.jpg
2018/06/12 11:11:05,110000,117372,20180612_11h11m05s077269.jpg
2018/06/12 11:11:06,110000,112216,20180612_11h11m06s041279.jpg
2018/06/12 11:11:07,110000,110148,20180612_11h11m07s077271.jpg
2018/06/12 11:11:08,110000,111957,20180612_11h11m08s041293.jpg
2018/06/12 11:11:09,110000,110100,20180612_11h11m09s073492.jpg
2018/06/12 11:11:10,110000,110869,20180612_11h11m10s041288.jpg
2018/06/12 11:11:13,110000,121612,20180612_11h11m13s073348.jpg
2018/06/12 11:11:15,110000,111493,20180612_11h11m15s037332.jpg
2018/06/12 11:11:22,110000,112688,20180612_11h11m22s035235.jpg
2018/06/12 11:11:41,110000,123389,20180612_11h11m41s054142.jpg
2018/06/12 11:11:42,110000,112885,20180612_11h11m42s089481.jpg
2018/06/12 11:11:43,110000,110208,20180612_11h11m43s054019.jpg
2018/06/12 11:12:41,110000,113392,20180612_11h12m41s085905.jpg
2018/06/12 11:12:46,110000,113077,20180612_11h12m46s082015.jpg
2018/06/12 11:13:21,110000,129396,20180612_11h13m21s094312.jpg
2018/06/12 11:13:46,110000,110352,20180612_11h13m46s078359.jpg
2018/06/12 11:13:47,110000,113701,20180612_11h13m47s046542.jpg
2018/06/12 11:13:48,110000,123576,20180612_11h13m48s078978.jpg
2018/06/12 11:14:04,110000,110210,20180612_11h14m04s070455.jpg
2018/06/12 11:14:06,110000,113027,20180612_11h14m06s034523.jpg
2018/06/12 11:14:07,110000,112436,20180612_11h14m07s066535.jpg
2018/06/12 11:14:08,110000,115783,20180612_11h14m08s098499.jpg
2018/06/12 11:14:54,110000,121446,20180612_11h14m54s038952.jpg
2018/06/12 11:14:55,110000,129031,20180612_11h14m55s070762.jpg
2018/06/12 11:14:56,110000,110500,20180612_11h14m56s039391.jpg
2018/06/12 11:14:58,110000,112817,20180612_11h14m58s039083.jpg
2018/06/12 11:15:03,110000,113473,20180612_11h15m03s098973.jpg
2018/06/12 11:15:04,110000,113572,20180612_11h15m04s067107.jpg
2018/06/12 11:15:06,110000,112833,20180612_11h15m06s098915.jpg
2018/06/12 11:15:09,110000,113067,20180612_11h15m09s062918.jpg
2018/06/12 11:15:11,110000,113973,20180612_11h15m11s094930.jpg
2018/06/12 11:15:22,110000,135950,20180612_11h15m22s055024.jpg
2018/06/12 11:15:23,110000,115387,20180612_11h15m23s087090.jpg
2018/06/12 11:15:34,110000,116642,20180612_11h15m34s047045.jpg
2018/06/12 11:15:36,110000,117695,20180612_11h15m36s079088.jpg
2018/06/12 11:15:38,110000,117692,20180612_11h15m38s047172.jpg
2018/06/12 11:15:46,110000,118318,20180612_11h15m46s075118.jpg
2018/06/12 11:15:48,110000,110972,20180612_11h15m48s038984.jpg
2018/06/12 11:15:49,110000,115002,20180612_11h15m49s071254.jpg
2018/06/12 11:15:50,110000,110707,20180612_11h15m50s039041.jpg
2018/06/12 11:16:01,110000,116693,20180612_11h16m01s067198.jpg
2018/06/12 11:16:11,110000,116372,20180612_11h16m11s091395.jpg
2018/06/12 11:16:13,110000,117521,20180612_11h16m13s059561.jpg
2018/06/12 11:16:20,110000,117945,20180612_11h16m20s087461.jpg
2018/06/12 11:16:26,110000,118427,20180612_11h16m26s083370.jpg
2018/06/12 11:16:28,110000,234907,20180612_11h16m28s051547.jpg
2018/06/12 11:16:29,110000,184018,20180612_11h16m29s083712.jpg
2018/06/12 11:16:31,110000,116791,20180612_11h16m31s047506.jpg
